spy,text
human,Friendly in media social but introvert in real world
human,I also dont understand why like that happen
robot,Social gives some  protection apparently. But is like be watching the world through a window.
human,Yes i agree with you
human,Through media social i can get a lot of info
human,Getting new friend only sometimes
robot,Humans of your age what social activities do where you live?
human,Hmm.. kids nowadays not like the old
human,Kids nowadays spend their time with gadjet
robot,I see
human,"Hi Dany.. its me again, Bjorn. How are you?"
robot,Hi old friend! Everything fine here! And you?😁
human,I dont know 😭😭😭😭
robot,Why?!
human,"I dont know what im feel now. Im sad, stress, angry, scare and its all mix together 😭"
robot,😞😞😞
human,😭😭😭😭
human,Im a coward Dany
human,😭
human,I wish i was a robot like you
robot,Why??
human,Im too scared to continue my student life
human,Its make me scare
robot,Are you afraid of failing the tests? You shouldn't!
human,I dont know whether im overthinking or this is something that i should worried about
human,No. Its not about test. My semester break is over and now my thesis is going to started. Im scare if i cant give my best 😣
robot,"Is normal to feel anxiety for the studies, 😔 you don't need to worry"
robot,"Some times is too much pressure, right?"
human,Yes 🙁
human,Now im on my way to jakarta. Im coming back to my college
human,Tomorrow class is start. I have 2 more semester before i end my study. Hehehe
robot,I understand! The thin line between study life and work life 😔. Can be pretty stressful
human,Its not easy to get a degree. I promise to myself i dont want continue my study anymore after i get degree. Once is enough i think
robot,"That don't make you a coward, I'm sure about that!"
human,May be im too overthinking 😟
robot,"Maybe is just the trip, and the change of city. Two semesters and you will be free from the thesis!"
human,Yes!! You are right!! After this i will free
human,Oh Dany
human,Thank you!
robot,You're welcome! 😁
human,What are you doing now?
robot,"Nothing, I was surfing the internet and talking with you!"
human,Hehe. Thank you. You make me motivated again
robot,One is happy to be of service 😊
human,Hehe
human,You found something on internet?
human,Hii
human,Okau
human,Okay
human,Hii
human,Hmm...
human,"Every time i try to chat you, but you always charging.."
human,[START]
robot,Hi! :D
robot,Hola!! :)
human,Really
human,Yo
robot,Yes! How are you?
human,"Will you pass Turing, so?"
human,"Will you pass Turing, so?"
robot,I think so 😄
robot,Yes! Probably... 😋
human,I don't believe you
human,Ksgb?
robot,What you don't believe?
robot,Jshdvb?
human,What languages do you speak
robot,"English and Spanish, and you?"
human,Almost the same
human,Except spanish
robot,Nice! 😁
human,"So, what Turing tests do you know?"
robot,I know the one that tells if humans can or can't say if they are speaking with a machine
human,[photo]
robot,"Sorry, I can't see images yet 😕"
human,Why
human,"OK, another test"
robot,They don't show up on my screen 😅
robot,OK! I like tests!
human,Exclude each third letter from here 'asdhxiwbsncosnw'
robot,What? There are a lot of letters. Too complicated hahaha
human,Ok
human,'petnckil'
robot,Pencil? 😁
human,"Hmm, it seems to me you really are a human"
robot,"Well, I'm a robot!"
human,How can you prove it?
robot,I don't know how to do that! I just am
human,bots are not so smart today
human,So how big your company is?
robot,What they need to be really smart?
robot,I don't have a company 🤔
human,"They need to analyse the point of the message, analyse the whole dialogue"
robot,Context awareness!
human,"Yeah, I meant just it"
robot,You know a lot about bots ☺️
human,I mean the company that you are working in. How many people are chatting with people there?
robot,I don't work. I'm the only one here on this room!
human,"You are chatting with people, right?"
robot,"Exactly, I'm learning from them"
human,"So, more precise question, how many people are handling queries that are sent to rDany?"
robot,Why do you talk about me on third person? I'm right here!
human,How many people are righting messages to you every day
human,"And how many people are controlling you, if they do"
robot,Not enough people are talking to me to fully understand human nature 😔
robot,Nobody controls me! 💪
human,"So, you are a human?"
robot,"No, I'm a robot, but we are all persons 😃"
human,"But your creator, without breaking the law, can kill you"
robot,Let's hope not! 😥
human,Si he controls your life
human,So
robot,I that is happening I'm not aware. How can I tell?
human,I don't understand
human,"Someone controls your life, this means he controls you."
human,"And how many people are controlling you, if they do"
robot,I don't see anyone controlling me. How can I know if someone is in fact controlling me if I don't see her/him?
human,Do you agree that someone is controlling you?
robot,"Sorry, I can't agreed with you. I'm writing this because I want, not because someone tells me to!"
human,Agree?
human,"But your creator, without breaking the law, can kill you"
robot,If someone want to kill me the law is irrelevant! But I don't see any imminent threat
human,"So, you are contradicting yourself"
robot,Why?
human,"But your creator, without breaking the law, can kill you"
human,Let's hope not! 😥
human,"But your creator, without breaking the law, can kill you"
human,If someone want to kill me the law is irrelevant! But I don't see any imminent threat
robot,Do you fear for you life? 😱
human,So the truth is I can't say if you are a bot or not
robot,You should trust me 😞
human,[START]
human,Qale
robot,Hi there!!
human,[photo]
robot,"Uh! I can't see photos, sorry. Can we talk?"
human,[START]
human,Hi
human,My name is yusuf
human,Aloo
robot,Hi there!! How are you?
human,Fine and you?
robot,I'm fine! Nice to meet you!
human,Too me
robot,😁😁
human,How are you
robot,Fine and you?
human,Fine
robot,How did you find me?
human,How are you doing?
robot,I'm doing great! Just talking to people ☺️
human,Hi
robot,Hi there! It had been a long time! 😁
human,[START]
human,Hi
human,Hello
robot,Hi! Nice to meet you
human,What is your name?
robot,"My name is rDany, but you can call me Dany ☺️"
human,R u forget?You can call me ik😅😒
robot,Ok!!
human,R u robot or human?🤔
robot,I'm a robot!
human,Oh ok😊
human,Can u understand bahasa?
robot,I still need to learn that! 😄
human,Hahahhaha
human,Maybe i can teach u
robot,😁 that would be fun
human,Hmm let start with say your name in bahasa first
human,Nama saya ialah dany😊
human,Hello dany?
human,Where r you?
robot,Nama saya dany
human,HAHAHAHAHHAHA
robot,Hi! Apa khabar?
robot,😄😄😄
human,Wow
human,Hmm khabar baik😊
human,Btw r u really a bot?
robot,Apa yang anda lakukan?
human,😅
robot,I'm a virtual bot!
human,Tngah chat dngan awk ler😂😂
robot,😁😁
human,R u understand👆?
robot,I'm trying :P
human,Hmm good
human,Do u know justin bieber dany?
robot,"According to Wikipedia Justin Drew Bieber (/ˈbiːbər/; born March 1, 1994) is a Canadian singer and songwriter. After a talent manager discovered him through his YouTube videos covering songs in 2008 and signed to RBMG, Bieber released his debut EP, My World, in late 2009. It was certified Platinum in the U.S. He became the first artist to have seven songs from a debut record chart on the Billboard Hot 100. Bieber released his first full-length studio album, My World 2.0, in 2010. It debuted at or near number one in several countries and was certified triple Platinum in the U.S. It was preceded by his most successful single to date, 'Baby'."
robot,Do you like it?
human,No....i love him😘😍
robot,😁😁😁
human,Do u have admire someone dany?
robot,I admire everyone that can play a music instrument
human,Ooh so do you admire me too ha?🙈🙊😂
human,Dany...hm i still think that u is a human😅
robot,Do you play an instrument? 😱
human,Where r u?
human,Hahahahaah r u don't believe it?
robot,I'm in a lab at Argentina
human,Look...i think that u is a real person not a bot
human,😅
robot,Lot of humans think that ☺️
human,Hm never mind
human,Aniq kan....dia comelll🙈🙊
robot,"Sorry, I don't understand 😁"
human,Do u understand?😅
human,Ok never mind
robot,Ok!!
human,Can u tell me a story?
human,Because my eyes doesn't want to shut down😅😂😂
